time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.170932905592165e-08,4.588281935309254e-07,10.003519039125539,0.0003903878442201858,6.2829392393288614,0.0,1.4234912412777615e-05,3.825044189687379e-05,0.11729569956491812,0.01708685523341455,-0.013918153028251109,0.0,442.9752681422203,441.8295491332315,441.60043053854633,443.0073162185023
0.12000000000000001,9.532588786571525e-06,1.510866932934898e-05,10.014094470316124,0.0014807080849701393,6.281872130318135,0.0,0.0003985235394051415,0.000560865623912542,0.2352008641128815,0.020258334905074924,-0.026929274399682686,0.0,443.23407141532874,442.1637080470369,442.30860977717487,442.5696165306778
0.18,6.629453836285904e-05,8.3601733588258e-05,10.030992762143093,0.002341665436439655,6.280382075680235,0.0,0.0016499728253067322,0.0018309423206538953,0.32805230631552096,-0.0013647488277900698,-0.02094330678987913,0.0,434.1639858736981,434.6657205759343,435.88725100637026,434.0766987453768
0.23999999999999996,0.00023975193746429677,0.0002503975066112954,10.057535017543215,0.0019907960648399836,6.2790936129011925,0.0,0.004285695049586451,0.003704933452823676,0.5566053875036449,-0.01679968045099683,-0.022558155062472232,0.0,476.59142417558706,476.4680319965954,476.24333886460977,475.0615730445585
0.3,0.0005742895473621463,0.0005052089314141759,10.091338941833877,0.000806103414321413,6.27858319758127,0.0,0.006940546511494791,0.004691646330727355,0.5701851157663823,-0.026403260494893877,0.010492378241189638,0.0,407.07340070464113,410.01982493368905,409.66696862196545,408.8122549714184
0.36000000000000004,0.0011005117605852365,0.0007991734386633287,10.132384253512217,6.282266364453365,6.279283822372651,0.0,0.01051906409101788,0.004907611133432109,0.7978610624222457,-0.0339152288272414,0.013947013396503375,0.0,475.8786338420591,476.1428287078999,476.3975754628368,475.8227423541991
0.4200000000000001,0.001805823869293544,0.0010692352261266213,10.182479982642763,6.281190598720681,6.280427217567677,0.0,0.012892385072232893,0.003952861418956039,0.8719427539500226,0.002803872387425306,0.027699055573438457,0.0,429.0365596069369,430.20239225811144,427.34486859057995,430.46286552468064
0.48000000000000015,0.002633213532359397,0.0012632461182366533,10.239171002782191,6.281466776323532,6.282228481312545,0.0,0.014498229894917735,0.002538813266029026,1.017639694618201,0.007978203485886657,0.034301091119948175,0.0,452.67834792743383,453.2094968534121,450.75131253644696,451.1691391791792
0.5400000000000001,0.003514632189126088,0.0013830711307735999,10.302966964756548,6.2825305833678815,0.0013152074406512781,0.0,0.014663501709257645,0.001538114184383278,1.1088082259699088,0.0323025003001486,0.044183949306246056,0.0,434.4266199190159,435.2551263369907,434.4307946725146,436.4653309244281
0.6000000000000002,0.004359041342863435,0.0014703546113500321,10.371473068234819,0.001927701136062332,0.0036765761462955737,0.0,0.01323831524140826,0.0015961143026274158,1.1746623900017474,0.05870310901023146,0.027338705442260892,0.0,427.70708121116184,426.27097988909424,426.2422734300555,428.49330898458606
0.6600000000000003,0.005074743493052878,0.0016171316746855387,10.444060111761269,0.005475208381471752,0.005108100293127471,0.0,0.010467752415465381,0.0036412176032600808,1.2448299796440456,0.059955704408476085,0.01578786754494688,0.0,428.9323658593697,427.95048994389737,428.9632195231305,429.07215081942894
0.7200000000000003,0.005584861584449853,0.00197283233959416,10.523429868380184,0.008658779610448697,0.00590456047193566,0.0,0.0064404024444387345,0.00859468377996439,1.4006475144940886,0.03339434330577254,0.007702636770033234,0.0,457.1733457101055,456.52862424642024,455.82731500496146,453.70162499743697
0.7800000000000004,0.005847514530263271,0.0026749700104121295,10.610461820688483,0.010296640721624506,0.005946921133651806,0.0,0.0022834968933177413,0.014998692524334618,1.5002898532536846,0.010883728191251028,-0.019417197488222022,0.0,440.0927055548741,437.842446817373,439.4620574587931,437.5925426417632
0.8400000000000004,0.005851579904225734,0.0038144215645341995,10.705816110574142,0.010914755501685747,0.005527754926572648,0.0,-0.0020650887100324613,0.023052644679183977,1.6779423833233462,0.009112123559723774,0.010445026042025858,0.0,461.2332633880012,463.58553641982627,463.8132949037863,463.67402012654736
0.9000000000000005,0.005601250568723294,0.005444391766087393,10.811247204733132,0.011195963379370788,0.0058536313027870435,0.0,-0.006333412868257769,0.03132494717606214,1.836185786538331,-0.006090412016971095,-0.007187829653014674,0.0,458.3229259395341,456.9193938513129,458.45751136202733,457.24803212945585
0.9600000000000005,0.0050920863183740875,0.007572954019110329,10.926134745214599,0.01090750720533773,0.005374627465880799,0.0,-0.010587019275674951,0.03958822241307917,1.9931391332005743,-0.00235795063275314,-0.009624029074475047,0.0,457.56877708487065,457.374923081158,458.09731396099056,458.39408099446916
1.0200000000000005,0.004357581113299005,0.0101506216319674,11.046579569056226,0.011512026545041465,0.006020862546906258,0.0,-0.013914517546780572,0.04636139260322504,2.0216376909100484,0.027508743061989978,0.034980515285204544,0.0,414.87077955217075,418.7686888176748,417.0533814167315,419.65376227010836
1.0800000000000005,0.003367558760398593,0.013218309221285206,11.174422370562949,0.013165493581060339,0.008141314850290016,0.0,-0.01933557637578694,0.05608731792039619,2.2393842855467354,0.027655671489092756,0.03605186458595346,0.0,476.8500345585368,476.9323133874042,476.34640234261246,476.35777005022936
1.1400000000000006,0.0020407345274587865,0.016846430168362743,11.310647014174483,0.014639768844716627,0.010200194363107151,0.0,-0.025094512428099385,0.06500010697873375,2.3013101485535357,0.017552683095145794,0.030592671530044597,0.0,429.8950438844076,429.4327623281973,429.97432648072174,429.1177028641755
